Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
ilias-akhomach,Villarreal CF,6.7666666666667,203.0,2,2,3.171,2.51240033,353,86,439,56,4,0,7,30,1510,30,1089108
bertrand-traore,Villarreal CF,6.91,69.1,1,0,0.8479,0.50555984,136,31,167,8,3,0,7,18,484,10,218160
yeremy-pino,Villarreal CF,7.0285714285714,49.2,0,0,1.4243,0.49704241,131,27,158,9,4,0,4,9,479,7,984624
alejandro-baena,Villarreal CF,7.2484848484848,239.2,2,13,8.0281,9.22174799,804,223,1027,25,10,1,25,72,2536,33,910031
dani-parejo,Villarreal CF,7.146875,228.7,3,5,2.9284,4.00277987,1578,170,1748,19,4,0,6,12,2559,32,39182
denis-suarez,Villarreal CF,6.725,26.9,0,0,0.0908,0.60536817,76,13,89,5,0,0,0,1,138,4,138383
etienne-capoue,Villarreal CF,6.76875,216.6,1,1,1.0188,1.01900282,693,105,798,22,8,0,5,14,1466,32,16701
francis-coquelin,Villarreal CF,6.7529411764706,114.8,0,0,0.1108,0.61295098,378,51,429,3,4,0,0,3,919,17,40672
santi-comesana,Villarreal CF,6.75,175.5,2,0,1.8004,1.30306025,707,98,805,19,6,2,7,16,1571,26,843678
manu-trigueros,Villarreal CF,6.65,79.8,0,0,0.4516,0.16792902,100,18,118,0,0,0,3,5,252,13,153966
ramon-terrats,Villarreal CF,6.6647058823529,113.3,0,2,0.3691,1.18726143,306,53,359,10,4,0,1,8,722,18,1088565
aissa-mandi,Villarreal CF,6.76,101.4,1,0,0.634,0.41795874,603,55,658,0,3,0,2,4,1028,15,122810
juan-foyth,Villarreal CF,7.0,84.0,1,1,0.3912,0.85043623,477,99,576,20,1,0,2,6,1063,12,873189
eric-bailly,Villarreal CF,6.69,66.9,0,0,0.2282,0.04018133,337,46,383,7,4,0,0,2,838,10,606346
raul-albiol,Villarreal CF,6.8115384615385,177.1,0,1,0.4483,0.61569331,1092,173,1265,0,6,0,1,6,2035,26,3041
yerson-mosquera,Villarreal CF,7.0666666666667,106.0,2,1,1.0951,0.47957315,555,93,648,4,3,0,4,9,1147,15,1014835
alberto-moreno,Villarreal CF,6.7888888888889,183.3,2,2,0.7319,1.76547633,496,98,594,5,1,2,5,17,1497,27,229740
jorge-cuenca,Villarreal CF,6.8392857142857,191.5,3,1,1.2247,0.74683382,901,169,1070,7,7,0,7,20,1906,28,868715
alfonso-pedraza,Villarreal CF,6.6473684210526,126.3,1,3,0.6007,2.32381647,345,92,437,10,4,1,4,9,1119,19,797290
kiko-femenia,Villarreal CF,6.7863636363636,149.3,0,0,0.0108,0.70638132,751,131,882,6,6,1,0,1,1497,22,53739
pepe-reina,Villarreal CF,6.6,6.6,0,0,,0.00279089,23,8,31,0,2,1,0,0,90,1,26937
filip-jorgensen,Villarreal CF,7.2111111111111,259.6,0,0,0,0.0415946028,875,247,1122,1,4,0,0,0,3240,36,962053
andre-silva,Real Sociedad,6.6294117647059,112.7,3,0,3.3006,0.22228973,129,29,158,6,1,0,6,16,736,18,190159
mikel-oyarzabal,Real Sociedad,6.86875,219.8,9,3,9.0992,1.32974401,371,117,488,10,3,0,19,40,2135,32,823622
umar-sadiq,Real Sociedad,6.7076923076923,174.4,3,1,3.6403,0.93075901,128,52,180,31,4,0,10,33,1106,26,754710
sheraldo-becker,Real Sociedad,6.9285714285714,97.0,2,2,1.3415,1.78350849,130,44,174,4,1,0,9,19,690,14,352544
ander-barrenetxea,Real Sociedad,6.8148148148148,184.0,4,1,3.5123,0.82464126,341,134,475,37,1,0,12,37,1379,28,966862
carlos-fernandez,Real Sociedad,6.71,67.1,2,1,1.4966,0.202509595,44,38,82,3,3,0,4,9,411,10,782396
kubo-takefusa,Real Sociedad,7.4107142857143,207.5,7,4,3.4738,6.24132455,539,129,668,51,2,0,20,45,2065,29,880218
arsen-zakharyan,Real Sociedad,6.8035714285714,190.5,1,2,2.307,2.17918876,325,102,427,10,1,0,8,30,1175,28,1066045
martin-zubimendi,Real Sociedad,7.0645161290323,219.0,4,1,2.697,2.0138009,1318,208,1526,12,5,0,11,22,2655,31,966837
